feature,importance
profile_pic_capped,0.16253958161985738
profile_pic,0.15753370113073453
log_num_followers,0.101984488459305
log_num_posts,0.09605770317461691
username_num_length_capped,0.09254933144045945
num_followers_capped,0.08642841021282233
num_posts_capped,0.08323869223737931
followers_following_ratio_clipped,0.07490498338894198
followers_following_ratio_capped,0.06060468302710378
description_length_capped,0.03109845012364043
num_follows_capped,0.025721165064621142
fullname_words_capped,0.009519396053024595
fullname_num_length_capped,0.00939950215450644
private,0.0037740020230408373
private_capped,0.0037704910008264044
name_eq_username,0.00044019477134475335
external_url_capped,0.0002549404377963195
external_url,0.00018028367997857886
name_eq_username_capped,0.0
